福建电信,#genre#
海峡卫视高清,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
福建文体高清,http://27.148.240.138/PLTV/88888888/224/3221226749/1.m3u8
动漫秀场高清,,http://27.148.240.138/PLTV/88888888/224/3221226750/1.m3u8
东南卫视高清,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
漳州新闻综合,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
石狮综合,http://218.106.152.196/lsdream/MO13IYx/2000/live.m3u8?zfud
霞浦综合频道,http://218.106.152.196/lsdream/G7wCyZW/4000/live.m3u8?zfud
永安综合频道,http://218.106.152.196/lsdream/x6FnPrm/2000/live.m3u8?fujian
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian
建宁综合频道,https://p2.weizan.cn/2144741973/075444991326676404/live.m3u8?zfud
福建旅游高清,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
福建教育高清,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
福建经济高清,http://27.148.240.138/PLTV/88888888/224/3221226920/1.m3u8
福建乡村振兴•公共高清,http://27.148.240.138/PLTV/88888888/224/3221226928/1.m3u8
福建新罗,http://stream.lyxltv.com/xltv/sd/live.m3u8

福建联通,#genre#
CCTV1,rtsp://36.250.89.11:554/PLTV/88888909/224/3221225703/10000100000000060000000000391319_0.smil
CCTV2,rtsp://36.250.89.9:554/PLTV/88888909/224/3221225702/10000100000000060000000000391317_0.smil
CCTV3,rtsp://36.250.89.17:554/PLTV/88888909/224/3221225979/10000100000000060000000004051300_0.smil
CCTV4,rtsp://36.250.89.17:554/PLTV/88888909/224/3221225972/10000100000000060000000003964012_0.smil
CCTV5,rtsp://36.250.89.16:554/PLTV/88888909/224/3221225968/10000100000000060000000004051302_0.smil
CCTV5+,rtsp://36.250.89.15:554/PLTV/88888909/224/3221225750/10000100000000060000000000403958_0.smil
CCTV6,rtsp://36.250.89.13:554/PLTV/88888909/224/3221225847/10000100000000060000000002691351_0.smil
CCTV7,rtsp://36.250.89.16:554/PLTV/88888909/224/3221225701/10000100000000060000000000391316_0.smil
CCTV8,rtsp://36.250.89.9:554/PLTV/88888909/224/3221225970/10000100000000060000000004051303_0.smil
CCTV9,rtsp://36.250.89.10:554/PLTV/88888909/224/3221225700/10000100000000060000000000391315_0.smil
CCTV10,rtsp://36.250.89.15:554/PLTV/88888909/224/3221225699/10000100000000060000000000391290_0.smil
CCTV11,rtsp://36.250.89.11:554/PLTV/88888909/224/3221225737/10000100000000060000000000401678_0.smil
CCTV12,rtsp://36.250.89.6:554/PLTV/88888909/224/3221225698/10000100000000060000000000391289_0.smil
CCTV13,rtsp://36.250.89.5:554/PLTV/88888909/224/3221225745/10000100000000060000000000403953_0.smil
CCTV14,rtsp://36.250.89.14:554/PLTV/88888909/224/3221225697/10000100000000060000000000391272_0.smil
CCTV15,rtsp://36.250.89.18:554/PLTV/88888909/224/3221225746/10000100000000060000000000403954_0.smil
CCTV16,rtsp://36.250.89.9:554/PLTV/88888909/224/3221225977/10000100000000060000000004051299_0.smil
CCTV17,rtsp://36.250.89.18:554/PLTV/88888909/224/3221225769/10000100000000060000000001410290_0.smil
CGTN,rtsp://36.250.89.5:554/PLTV/88888909/224/3221225734/10000100000000060000000000401649_0.smil


福建移动,#genre#
cctv1[1047*576],http://loevor.tpddns.cn:8888/udp/239.61.5.193:1025
东南卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.114:1025
CCTV8[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.116:1025
CCTV3[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.117:1025
CCTV5[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.118:1025
CCTV6[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.119:1025
厦门卫视[785*576],http://loevor.tpddns.cn:8888/udp/239.61.4.11:1025
CCTV3[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.120:1025
CCTV5[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.121:1025
CCTV6[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.122:1025
CCTV8[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.123:1025
百视测试-4K[3840*2160],http://loevor.tpddns.cn:8888/udp/239.61.4.129:1025
IPTV5+[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.130:1025
CGTN法语[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.131:1025
CGTN俄语[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.132:1025
CGTN纪录[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.133:1025
深圳卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.134:1025
CCTV8[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.137:1025
厦门-1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.139:1025
厦门-2[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.140:1025
慢直播[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.141:1025
IPTV导视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.142:1025
欢笑剧场-4K[3840*2160],http://loevor.tpddns.cn:8888/udp/239.61.4.145:1025
cctv1[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.15:1025
第一财*[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.161:1025
中华特产[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.162:1025
车迷频道[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.163:1025
优优宝贝[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.164:1025
环球旅游[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.165:1025
生态环境[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.166:1025
茶频道[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.167:1025
先锋乒羽[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.168:1025
CHC动作电影[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.169:1025
梨园频道[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.170:1025
文物宝库[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.171:1025
武术世界[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.172:1025
新动漫[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.173:1025
cctv1[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.175:1025
CCTV1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.176:1025
中华特产[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.177:1025
车迷频道[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.178:1025
优优宝贝[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.179:1025
环球旅游[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.180:1025
生态环境[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.181:1025
百姓健康[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.182:1025
四海钓鱼[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.183:1025
家庭理财[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.185:1025
财富天下[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.186:1025
证券服务[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.187:1025
中学生[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.188:1025
发现之旅[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.189:1025
巨鲨环球精选[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.190:1025
CGTN英语[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.19:1025
福建综合[751*576],http://loevor.tpddns.cn:8888/udp/239.61.4.1:1025
CCTV11[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.21:1025
CCTV12[1055*576],http://loevor.tpddns.cn:8888/udp/239.61.4.22:1025
CCTV13[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.23:1025
CCTV15[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.25:1025
CCTV1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.27:1025
东方卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.28:1025
浙江卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.29:1025
江苏卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.30:1025
湖南卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.31:1025
北京卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.32:1025
广东卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.33:1025
黑龙江卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.34:1025
湖北卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.36:1025
山东卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.37:1025
福建公共[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.3:1025
陕西卫视[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.40:1025
海南卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.44:1025
福建新闻[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.4:1025
广西卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.50:1025
宁夏卫视[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.58:1025
河北卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.59:1025
福建电视剧[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.5:1025
河南卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.61:1025
青海卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.62:1025
云南卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.63:1025
中国天气[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.66:1025
福建旅游[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.6:1025
哈哈炫动[1047*576],http://loevor.tpddns.cn:8888/udp/239.61.4.72:1025
嘉佳卡通[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.74:1025
法治天地[785*576],http://loevor.tpddns.cn:8888/udp/239.61.4.77:1025
东方财*[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.78:1025
福建经济[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.7:1025
金色学堂[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.80:1025
第一财*[768*576],http://loevor.tpddns.cn:8888/udp/239.61.4.94:1025
福建少儿[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.4.9:1025
IPTV3＋[720*576],http://loevor.tpddns.cn:8888/udp/239.61.5.100:1025
IPTV6＋[720*576],http://loevor.tpddns.cn:8888/udp/239.61.5.102:1025
IPTV8＋[720*576],http://loevor.tpddns.cn:8888/udp/239.61.5.103:1025
IPTV5+[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.105:1025
央广购物[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.106:1025
金鹰卡通[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.107:1025
卡酷少儿[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.108:1025
吉林卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.109:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.10:1025
山西卫视[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.110:1025
甘肃卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.111:1025
内蒙古卫视[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.112:1025
新疆卫视[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.113:1025
兵团卫视[785*576],http://loevor.tpddns.cn:8888/udp/239.61.5.114:1025
西藏卫视[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.115:1025
平潭1套[720*576],http://loevor.tpddns.cn:8888/udp/239.61.5.117:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.11:1025
安徽卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.127:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.12:1025
家有购物[751*576],http://loevor.tpddns.cn:8888/udp/239.61.5.130:1025
优物购[751*576],http://loevor.tpddns.cn:8888/udp/239.61.5.131:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.13:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.14:1025
福建新闻广播[1024*576],http://loevor.tpddns.cn:8888/udp/239.61.5.154:1025
福建交通广播[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.155:1025
安徽卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.157:1025
CCTV17[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.158:1025
重庆卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.159:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.15:1025
四川卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.160:1025
福建综合[751*576],http://loevor.tpddns.cn:8888/udp/239.61.5.162:1025
CCTV1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.163:1025
福建综合[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.167:1025
CETV-2[785*576],http://loevor.tpddns.cn:8888/udp/239.61.5.169:1025
大湾区卫视[751*576],http://loevor.tpddns.cn:8888/udp/239.61.5.170:1025
金鹰纪实[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.171:1025
CCTV1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.180:1025
快乐垂钓[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.189:1025
海南卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.190:1025
三沙卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.191:1025
快乐购[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.192:1025
CETV-4[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.196:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.19:1025
460号[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.203:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.20:1025
慢直播[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.213:1025
慢直播[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.214:1025
IPTV5+[768*576],http://loevor.tpddns.cn:8888/udp/239.61.5.217:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.21:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.22:1025
生活时尚[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.25:1025
游戏风云[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.29:1025
欢笑剧场[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.30:1025
乐游[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.31:1025
动漫秀场[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.32:1025
都市剧场[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.33:1025
CCTV1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.42:1025
福建文体[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.44:1025
海峡卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.45:1025
贵州卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.46:1025
凤凰资讯[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.47:1025
凤凰中文[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.48:1025
卡屏[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.50:1025
上海纪实人文[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.51:1025
CETV-1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.53:1025
CCTV-4[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.56:1025
CCTV5+[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.58:1025
CCTV9[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.59:1025
福建教育[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.60:1025
CCTV2[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.61:1025
CCTV7[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.62:1025
CCTV10[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.63:1025
CCTV12[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.64:1025
CCTV14[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.65:1025
天津卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.67:1025
辽宁卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.68:1025
江西卫视[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.69:1025
漳州综合[1024*576],http://loevor.tpddns.cn:8888/udp/239.61.5.91:1025
南平综合[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.92:1025
三明综合[1024*576],http://loevor.tpddns.cn:8888/udp/239.61.5.93:1025
莆田综合[1024*576],http://loevor.tpddns.cn:8888/udp/239.61.5.94:1025
龙岩综合[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.95:1025
宁德综合[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.96:1025
福州综合[751*576],http://loevor.tpddns.cn:8888/udp/239.61.5.97:1025
泉州综合[1024*576],http://loevor.tpddns.cn:8888/udp/239.61.5.98:1025
厦门-1[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.99:1025
直播间[1920*1080],http://loevor.tpddns.cn:8888/udp/239.61.5.9:1025
